Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP15-6-Current_1,K0313,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Current_2,K0314,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Current_3,K0315,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Current_AVG,K0316,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_1,K0317,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_2,K0318,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_3,K0319,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_Factor_1,K0320,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_Factor_2,K0321,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_Factor_3,K0322,Float,1,R/W,100,,,,,,,,,,,
F2MP15-6-Power_Factor_Total,K0323,Float,1,R/W,100,,,,,,,,,,,
F2MP16-4-KWh,K0324,Float,1,R/W,100,,,,,,,,,,,
F2MP16-4-Energy,K0325,Float,1,R/W,100,,,,,,,,,,,
F2MP16-4-Voltage_1,K0326,Float,1,R/W,100,,,,,,,,,,,
F2MP16-4-Voltage_2,K0327,Float,1,R/W,100,,,,,,,,,,,
